id,occ_date,occ_year,premises_type,bike_cost,cost_group
14311,2018-02-25,2018,House,550,500<1000
14312,2018-02-24,2018,Apartment,220,<500
14313,2018-02-25,2018,Apartment,800,500<1000
14314,2018-02-24,2018,Apartment,400,<500
14315,2018-02-23,2018,Outside,1500,1500<2000
14317,2018-02-26,2018,Other,400,<500
14318,2018-02-25,2018,Apartment,1500,1500<2000
14319,2018-02-21,2018,Apartment,500,500<1000
14320,2018-02-27,2018,Other,620,500<1000
14321,2018-02-26,2018,Outside,250,<500
14322,2018-02-25,2018,Transit,2700,2000<
14323,2018-02-27,2018,House,780,500<1000
14324,2018-01-28,2018,Apartment,1000,1000<1500
14325,2018-02-27,2018,House,780,500<1000
14326,2017-07-15,2017,Other,1000,1000<1500
14327,2017-07-15,2017,Other,556.1,500<1000
14329,2018-02-28,2018,Outside,1500,1500<2000
14330,2018-02-26,2018,Commercial,800,500<1000
14332,2018-02-28,2018,Commercial,350,<500
14333,2018-02-16,2018,Apartment,1500,1500<2000
14334,2018-02-23,2018,Outside,450,<500
14335,2018-02-17,2018,Commercial,50,<500
14336,2018-03-02,2018,Other,500,500<1000
14337,2018-03-05,2018,Outside,50,<500
14338,2017-06-15,2017,House,500,500<1000
14339,2018-03-05,2018,Other,649.99,500<1000
14340,2018-03-04,2018,Apartment,1100,1000<1500
